prg_file,job_name,comment_de,comment_en,comment_pl,updated_at
ME9K_NG4,STATUS_FUNKTIONSSTATI,Auslesen von SchalterStatusflags,Reading switch status flags,Odczyt flag stanu przełącznika,2026-04-03 01:42:03
ME9K_NG4,STATUS_LAUFUNRUHE,Auslesen von Laufunruhewerten,Reading out unsteady running values,Odczyt niestabilnych wartości roboczych,2026-04-03 01:42:06
ME9K_NG4,STATUS_DKHFM,Auslesen von DK/HFM-Abgleichswerten,Reading out DK/HFM calibration values,Odczyt wartości kalibracyjnych DK/HFM,2026-04-03 01:42:09
ME9K_NG4,STEUERN_VVT,Stellgliedansteuerung VVT,Actuator control VVT,Sterowanie siłownikiem VVT,2026-04-03 01:42:12
ME9K_NG4,STEUERN_VVT_AUS,beenden Stellgliedansteuerung VVT,end actuator control VVT,sterowanie siłownikiem końcowym VVT,2026-04-03 01:42:16
ME9K_NG4,STATUS_CO,Auslesen des LL-CO-Wertes,Reading out the LL-CO value,Odczyt wartości LL-CO,2026-04-03 01:42:19
ME9K_NG4,STEUERN_CO,LL-CO-Wert vorgeben,Specify LL-CO value,Określ wartość LL-CO,2026-04-03 01:42:23
ME9K_NG4,STEUERN_CO_PROGRAMM,LL-CO-WERT programmieren,Program LL-CO-VALUE,Program LL-CO-VALUE,2026-04-03 01:42:26
ME9K_NG4,FS_LESEN_DETAIL,Fehlerspeicher auslesen,Read out error memory,Odczytaj pamięć błędów,2026-04-03 01:42:28
ME9K_NG4,STATUS_GEMISCH,Auslesen von Gemischwerten,Reading out mixture values,Odczyt wartości mieszanin,2026-04-03 01:42:32
ME9K_NG4,STATUS_AUSGAENGE,Auslesen von Ausgaengen,Reading out outputs,Odczytywanie wyjść,2026-04-03 01:42:36
ME9K_NG4,STATUS_NWGADAPTION,Auslesen der NWG-Adaptionen,Reading out the NWG adaptations,Odczytanie adaptacji NWG,2026-04-03 01:42:38
ME9K_NG4,STATUS_FASTA1,Auslesen FASTA-Messwertblock 1,Read out FASTA measured value block 1,Odczytaj blok 1 wartości zmierzonej FASTA,2026-04-03 01:42:41
ME9K_NG4,STATUS_FASTA2,Auslesen FASTA-Messwertblock 2,Read out FASTA measured value block 2,Odczytaj blok 2 wartości zmierzonej FASTA,2026-04-03 01:42:45
ME9K_NG4,STATUS_FASTA3,Auslesen FASTA-Messwertblock 3,Read out FASTA measured value block 3,Odczytaj blok 3 wartości zmierzonej FASTA,2026-04-03 01:42:48
ME9K_NG4,STATUS_FASTA4,Auslesen FASTA-Messwertblock 4,Read out FASTA measured value block 4,Odczytaj blok 4 wartości zmierzonej FASTA,2026-04-03 01:42:51
ME9K_NG4,STATUS_FASTA5,Auslesen FASTA-Messwertblock 5,Read out FASTA measured value block 5,Odczytaj blok 5 wartości zmierzonej FASTA,2026-04-03 01:42:54
ME9K_NG4,STATUS_FASTA6,Auslesen FASTA-Messwertblock 6,Read out FASTA measured value block 6,Odczytaj blok 6 wartości zmierzonej FASTA,2026-04-03 01:42:57
ME9K_NG4,STATUS_ADC,Auslesen ADC-Werte,Read out ADC values,Odczytaj wartości ADC,2026-04-03 01:43:00
ME9K_NG4,STATUS_FGR,FGR-Stati auslesen,Read out FGR status,Odczytaj stan FGR,2026-04-03 01:43:04
ME9K_NG4,STATUS_READINESS,READINESS - Flags lesen,READINESS - Read flags,GOTOWOŚĆ - Czytaj flagi,2026-04-03 01:43:07
ME9K_NG4,STATUS_ZYKLUSFLAG,Loeschen des Fehlerspeichers,Clearing the error memory,Kasowanie pamięci błędów,2026-04-03 01:43:09
ME9K_NG4,STATUS_KVA,Lesen des KVA-Wertes,Reading the KVA value,Odczyt wartości KVA,2026-04-03 01:43:13
ME9K_NG4,STEUERN_KVA,Loeschen des Fehlerspeichers,Clearing the error memory,Kasowanie pamięci błędów,2026-04-03 01:43:15
ME9K_NG4,STATUS_MIL,Lesen des MIL-STatus,Reading the MIL status,Odczyt stanu MIL,2026-04-03 01:43:18
ME9K_NG4,STEUERN_MIL,Loeschen des Fehlerspeichers,Clearing the error memory,Kasowanie pamięci błędów,2026-04-03 01:43:20
ME9K_NG4,STATUS_BATTERIEORT,Batteriort abfragen,Query Batteriort,Zapytanie Batteriort,2026-04-03 01:43:24
ME9K_NG4,STEUERN_BATTERIEORT,Batterieort programmieren,Program battery location,Zaprogramuj lokalizację baterii,2026-04-03 01:43:27
ME9K_NG4,STEUERN_LLABG,LL-Abgleichswerte werden vorgegeben,LL adjustment values ​​are specified,Określono wartości regulacji LL,2026-04-03 01:43:30
ME9K_NG4,STEUERN_LLABG_PROG,LL-Abgleichswerte werden programmiert,LL calibration values ​​are programmed,Wartości kalibracji LL są zaprogramowane,2026-04-03 01:43:34
ME9K_NG4,STATUS_LLABG,LL-Abgleichswerte werden gelesen,LL adjustment values ​​are read,Odczytywane są wartości regulacji LL,2026-04-03 01:43:38
ME9K_NG4,STATUS_VARIANTE,Auslesen der Variante,Reading out the variant,Odczytanie wariantu,2026-04-03 01:43:41
ME9K_NG4,STATUS_MINHUB,Lesen des MINHUB-Wertes,Reading the MINHUB value,Odczyt wartości MINHUB,2026-04-03 01:43:45
ME9K_NG4,STEUERN_MINHUB,Vorgeben des MINHUB-Wertes,Specifying the MINHUB value,Określanie wartości MINHUB,2026-04-03 01:43:48
ME9K_NG4,STEUERN_MINHUB_PROG,Vorgeben des MINHUB-Wertes,Specifying the MINHUB value,Określanie wartości MINHUB,2026-04-03 01:43:51
ME9K_NG4,STATUS_DBAW,"Lesen des DBAW-Status, Zahlerwerte","Reading DBAW status, payer values","Odczyt statusu DBAW, wartości płatnika",2026-04-03 01:43:54
ME9K_NG4,STEUERN_GD_VOLLHUB,Umschaltung Motor auf gedrosselt mit Vollhub,Switching the engine to throttled with full stroke,Przełączenie silnika na przepustnicę z pełnym skokiem,2026-04-03 01:43:58
ME9K_NG4,STATUS_ZUHEIZEN,Lesen von Statuswerten über DIREKTES RAM-Lesen,Reading status values ​​via DIRECT RAM reading,Odczyt wartości stanu poprzez BEZPOŚREDNI odczyt RAM,2026-04-03 01:44:01
ME9K_NG4,STATUS_GEBERRAD_ADAPTION,Auslesen der NWG-Adaptionen,Reading out the NWG adaptations,Odczytanie adaptacji NWG,2026-04-03 01:44:03
ME9K_NG4,STATUS_DIGITAL,Auslesen von SchalterStatusflags,Reading switch status flags,Odczyt flag stanu przełącznika,2026-04-03 01:44:06
ME9K_NG4,STATUS_PWG_POTI_SPANNUNG,Auslesen des Pedalwertgebers,Reading out the pedal value transmitter,Odczyt nadajnika wartości pedału,2026-04-03 01:44:09
ME9K_NG4,STATUS_SYSTEMCHECK_DMTL,Status Systemtest DMTL,Status system test DMTL,Test systemu stanu DMTL,2026-04-03 01:44:11
ME9K_NG4,STOP_SYSTEMCHECK_DMTL,Ende Systemtest DM-TL,End of DM-TL system test,Koniec testu systemu DM-TL,2026-04-03 01:44:13
ME9K_NG4,START_SYSTEMCHECK_TEV_FUNC,Systemtest von TEV,System test from TEV,Test systemu od TEV,2026-04-03 01:44:15
ME9K_NG4,STATUS_SYSTEMCHECK_TEV_FUNC,Status Systemtest TEV,Status system test TEV,Test systemu stanu TEV,2026-04-03 01:44:17
ME9K_NG4,STOP_SYSTEMCHECK_TEV_FUNC,Beenden von TEV-Systemtest,Ending TEV System Test,Zakończenie testu systemu TEV,2026-04-03 01:44:20
ME9K_NG4,START_SYSTEMCHECK_LSU,Systemdiagnose LSU starten,Start LSU system diagnostics,Rozpocznij diagnostykę systemu LSU,2026-04-03 01:44:23
ME9K_NG4,STATUS_SYSTEMCHECK_LSU,Status Systemdiagnose LSU,LSU system diagnostics status,Stan diagnostyki systemu LSU,2026-04-03 01:44:27
ME9K_NG4,STOP_SYSTEMCHECK_LSU,Ende Systemdiagnose LSU,End of LSU system diagnosis,Koniec diagnostyki systemu LSU,2026-04-03 01:44:31
ME9K_NG4,START_SYSTEMCHECK_LSH,Start der Systemdiagnose LSH,Start the LSH system diagnosis,Rozpocznij diagnostykę systemu LSH,2026-04-03 01:44:34
ME9K_NG4,STATUS_SYSTEMCHECK_LSH,Status LSH-Diagnose auslesen,Read status of LSH diagnosis,Przeczytaj status diagnozy LSH,2026-04-03 01:44:38
ME9K_NG4,STOP_SYSTEMCHECK_LSH,Ende der Systemdiagnose LSH,End of system diagnosis LSH,Koniec diagnostyki systemu LSH,2026-04-03 01:44:41
ME9K_NG4,EWS_STARTWERT,EWS-Startwertinitialisierung,EWS seed initialization,Inicjalizacja nasion EWS,2026-04-03 01:44:44
ME9K_NG4,EWS_EMPFANG,EWS-Empfangsstatus auslesen,Read EWS reception status,Przeczytaj stan odbioru EWS,2026-04-03 01:44:48
ME9K_NG4,STEUERN_SYNC_MODE,EWS-Startwertinitialisierung,EWS seed initialization,Inicjalizacja nasion EWS,2026-04-03 01:44:50
ME9K_NG4,STATUS_SYNC_MODE,EWS-Empfangsstatus auslesen,Read EWS reception status,Przeczytaj stan odbioru EWS,2026-04-03 01:44:53
ME9K_NG4,STATUS_MOTORTEMPERATUR,Auslesen der Motortemperatur,Reading the engine temperature,Odczyt temperatury silnika,2026-04-03 01:44:57
ME9K_NG4,STATUS_MOTORDREHZAHL,Auslesen der Motordrehzahl,Reading the engine speed,Odczyt prędkości obrotowej silnika,2026-04-03 01:44:59
ME9K_NG4,STATUS_AN_LUFTTEMPERATUR,Auslesen der Lufttemperatur,Reading the air temperature,Odczyt temperatury powietrza,2026-04-03 01:45:03
ME9K_NG4,STATUS_LMM_MASSE,Auslesen der Luftmasse,Reading the air mass,Odczyt masy powietrza,2026-04-03 01:45:06
ME9K_NG4,STATUS_L_SONDE,Auslesen der Lambdasonden Spg.,Reading out the lambda probe voltage.,Odczyt napięcia sondy lambda.,2026-04-03 01:45:09
ME9K_NG4,STATUS_L_SONDE_2,Auslesen der Lambdasonden Spg. 2,Reading out the lambda probe voltage. 2,Odczyt napięcia sondy lambda. 2,2026-04-03 01:45:12
ME9K_NG4,STATUS_L_SONDE_H,Auslesen der Lambdasonden Spg.,Reading out the lambda probe voltage.,Odczyt napięcia sondy lambda.,2026-04-03 01:45:15
ME9K_NG4,STATUS_L_SONDE_2_H,Auslesen der Lambdasonden Spg. Bank2,Reading out the lambda probe voltage. Bank2,Odczyt napięcia sondy lambda. Bank2,2026-04-03 01:45:19
ME9K_NG4,STATUS_INT,Auslesen der Lambdaregelung,Reading out the lambda control,Odczyt kontroli lambda,2026-04-03 01:45:23
ME9K_NG4,STATUS_INT_2,Auslesen der Lambdaregelung Bank2,Reading out the lambda control bank2,Odczyt banku kontrolnego lambda2,2026-04-03 01:45:26
ME9K_NG4,STATUS_ADD,Auslesen des additiven Lambdaregelung,Reading out the additive lambda control,Odczyt addytywnej kontroli lambda,2026-04-03 01:45:29
ME9K_NG4,STATUS_ADD_2,Auslesen des additiven Lambdaregelung Bank2,Reading out the additive lambda control bank2,Odczyt addytywnego banku kontrolnego lambda2,2026-04-03 01:45:32
ME9K_NG4,STATUS_MUL,Auslesen des multipikativen Lambdaregelung,Reading out the multipicative lambda control,Odczyt multipikatywnej kontroli lambda,2026-04-03 01:45:35
ME9K_NG4,STATUS_MUL_2,Auslesen des multipikativen Lambdaregelung Bank2,Reading out the multipicative lambda control bank2,Odczyt multipikatywnego banku kontrolnego lambda2,2026-04-03 01:45:38
ME9K_NG4,STATUS_UBATT,Auslesen der Batteriespg.,Reading out the battery voltage,Odczyt napięcia akumulatora,2026-04-03 01:45:41
ME9K_NG4,STATUS_MOTORLAUFUNRUHE,Auslesen von Laufunruhewerten,Reading out unsteady running values,Odczyt niestabilnych wartości roboczych,2026-04-03 01:45:44
ME9K_NG4,START_SYSTEMCHECK_SEK_LUFT,Systemdiagnose SLS,SLS system diagnostics,Diagnostyka systemu SLS,2026-04-03 01:45:46
ME9K_NG4,LESEN_SYSTEMCHECK_SEK_LUFT,Status Systemdiagnose SLS,Status system diagnosis SLS,Diagnostyka systemu stanu SLS,2026-04-03 01:45:48
ME9K_NG4,STOP_SYSTEMCHECK_SEK_LUFT,Ende Systemdiagnose SLS,End of SLS system diagnosis,Koniec diagnostyki systemu SLS,2026-04-03 01:45:51
ME9K_NG4,STATUS_RAM_LESEN,Beliebige RAM - Zellen auslesen,Read any RAM cells,Przeczytaj wszystkie komórki RAM,2026-04-03 01:45:53
ME9K_NG4,STATUS_CO_ABGLEICH,Auslesen des LL-CO-Wertes,Reading out the LL-CO value,Odczyt wartości LL-CO,2026-04-03 01:45:55
ME9K_NG4,STEUERN_CO_ABGLEICH_VERSTELLEN,LL-CO-Wert vorgeben,Specify LL-CO value,Określ wartość LL-CO,2026-04-03 01:45:57
ME9K_NG4,STEUERN_CO_ABGLEICH_PROGRAMMIEREN,LL-CO-WERT programmieren,Program LL-CO-VALUE,Program LL-CO-VALUE,2026-04-03 01:46:00
ME9K_NG4,C_FG_LESEN,Auslesen des Pruefstempels und Interpretation als FG-Nummer,Reading out the test stamp and interpreting it as an FG number,Odczytanie stempla testowego i zinterpretowanie go jako numeru FG,2026-04-03 01:46:03
ME9K_NG4,C_FG_AUFTRAG,Beschreiben des Pruefstempels mit der FG-Nummer,Describe the test stamp with the FG number,Opisz stempel testowy numerem FG,2026-04-03 01:46:06
ME9K_NG4,C_C_LESEN,Codierdaten lesen,Read coding data,Przeczytaj dane kodowania,2026-04-03 01:46:09
ME9K_NG4,C_C_AUFTRAG,Codierdaten schreiben und verifizieren,Write and verify coding data,Zapisz i zweryfikuj dane kodowania,2026-04-03 01:46:12
ME9K_NG4,STATUS_BETRIEBSSTUNDEN,Auslesen des Betriebsstudenzaehlers,Reading out the operating hours counter,Odczyt licznika godzin pracy,2026-04-03 01:46:15
ME9K_NG4,VARIANTE_LOESCHEN,Loeschen der Varianten,Delete the variants,Usuń warianty,2026-04-03 01:46:19
ME9K_NG4,SLP_CONFIG,Auslesen des Sekundaersystems anhand des Datenstandes,Reading out the secondary system based on the data status,Odczyt systemu wtórnego na podstawie stanu danych,2026-04-03 01:46:22
ME9K42,C_FG_SCHREIBEN,Modus  : Default,Mode: Default,Tryb: domyślny,2026-04-05 19:56:57
ME9K42,FS_HEX_LESEN,Fehlerspeicher auslesen als Hex Dump,Read error memory as hex dump,Odczytaj pamięć błędów jako zrzut szesnastkowy,2026-04-05 19:57:42
ME9K42,PRUEFSTEMPEL_LESEN,Modus  : Default,,Tryb: domyślny,2026-04-05 19:57:54
ME9K42,C_CI_LESEN,Modus  : Default,,Tryb: domyślny,2026-04-05 19:57:58
ME9K42,INFO,Information SGBD,,Informacje SGBD,2026-04-05 19:58:02
ME9K42,STEUERN_VVT_ANSCHLAG,Lernen der VVT-Anschlaege,Learning the VVT ​​stops,Nauka zatrzymania VVT,2026-04-05 19:58:34
LWS5,STATUS_DIGITAL,"Bereich: 0, wenn FALSE / 1, wenn TRUE",Range: 0 if FALSE / 1 if TRUE,,2026-04-09 20:13:13
LWS5,STATUS_SG_DIGITAL,"Bereich: 0, wenn FALSE / 1, wenn TRUE",Range: 0 if FALSE / 1 if TRUE,,2026-04-09 20:13:24
LWS5,STATUS_SG_ONLINE,Auslesen der analogen Online-Werte des LWS5,Reading out the analog online values ​​of the LWS5,,2026-04-09 20:13:26
ME9K_5,FS_LESEN_LANG,Fehlerspeicher auslesen,Read out error memory,Odczytaj pamięć błędów,2026-04-10 12:00:05
EWS3,STEUERN_DIGITAL,Ansteuern / Vorgeben digitaler Stati der EWS3,Controlling/specifying digital statuses of the EWS3,,2026-04-13 18:16:06
DSC_MK60,FS_LOESCHEN,Job DIAGNOSE_MODE ist integriert,Job DIAGNOSE_MODE is integrated,Zadanie DIAGNOSE_MODE jest zintegrowane,2026-04-13 19:24:46
